timestep,id,left,top,height,width,img_height,img_width,parent
2,1,411.6586816,1359.428176,10,10,1920,2560,0
2,8,407.411072,451.1239552,10,10,1920,2560,0
2,34,336.5884032,677.3224288,10,10,1920,2560,0
2,128,307.1085568,1819.103094,10,10,1920,2560,0
2,129,959.8434816,1895.057075,10,10,1920,2560,0
2,130,414.1277568,503.0031952,10,10,1920,2560,0
2,135,881.6898304,1509.495198,10,10,1920,2560,0
2,2,1023.153043,1708.78839,10,10,1920,2560,0
2,5,2383.771866,610.1188288,10,10,1920,2560,0
2,6,1422.837568,673.7047792,10,10,1920,2560,0
2,7,751.7256,414.4357072,10,10,1920,2560,0
2,11,877.9249664,1234.03348,10,10,1920,2560,0
2,20,2158.988915,1642.123043,10,10,1920,2560,0
2,21,2390.40784,539.048248,10,10,1920,2560,0
2,22,495.6033152,910.299688,10,10,1920,2560,0
2,27,232.5253402,1808.272125,10,10,1920,2560,0
2,28,1666.893728,1058.629763,10,10,1920,2560,0
2,29,2432.502464,572.4644656,10,10,1920,2560,0
2,35,2183.78832,118.5008584,10,10,1920,2560,0
2,46,1351.706342,718.8434128,10,10,1920,2560,0
2,47,1387.459117,712.3165312,10,10,1920,2560,0
3,147,1266.369274,137.3187688,10,10,1920,2560,0
3,1,407.6963173,1363.4282,10,10,1920,2560,0
3,8,415.0019927,450.2571415,10,10,1920,2560,0
3,34,334.0243287,677.7781007,10,10,1920,2560,0
3,128,315.821081,1825.46849,10,10,1920,2560,0
3,129,947.3082381,1892.264838,10,10,1920,2560,0
3,130,411.3790184,506.3330126,10,10,1920,2560,0
3,135,880.7254315,1503.346996,10,10,1920,2560,0
3,2,1025.352567,1705.857965,10,10,1920,2560,0
3,5,2386.897968,623.6116124,10,10,1920,2560,0
3,6,1425.778885,710.0773348,10,10,1920,2560,0
3,7,751.2716913,415.1256884,10,10,1920,2560,0
3,11,856.2966421,1264.063684,10,10,1920,2560,0
3,20,2153.098439,1650.189162,10,10,1920,2560,0
3,21,2374.063686,534.6055764,10,10,1920,2560,0
3,22,476.5038248,903.0357636,10,10,1920,2560,0
3,27,234.3202627,1808.194736,10,10,1920,2560,0
3,28,1701.447619,1088.281133,10,10,1920,2560,0
3,29,2436.205817,571.8315515,10,10,1920,2560,0
3,35,2198.197473,138.7565745,10,10,1920,2560,0
3,46,1381.669742,710.6712401,10,10,1920,2560,0
3,47,1343.081393,708.1263506,10,10,1920,2560,0
4,180,1364.574016,1253.657478,10,10,1920,2560,0
4,183,1709.339392,724.9481728,10,10,1920,2560,0
4,157,488.87616,171.2060848,10,10,1920,2560,0
4,158,2400.54103,445.1546512,10,10,1920,2560,0
4,169,951.1232384,1564.655584,10,10,1920,2560,0
4,147,1266.725327,137.8304904,10,10,1920,2560,0
4,1,407.4975293,1363.335601,10,10,1920,2560,0
4,8,421.4478795,446.2096028,10,10,1920,2560,0
4,34,330.7353737,676.8444326,10,10,1920,2560,0
4,128,303.6810633,1818.748089,10,10,1920,2560,0
4,129,948.9978442,1897.1192,10,10,1920,2560,0
4,130,410.4691319,498.9026602,10,10,1920,2560,0
4,135,885.7288945,1491.908089,10,10,1920,2560,0
4,2,1032.288524,1719.37337,10,10,1920,2560,0
4,5,2386.560925,630.3362596,10,10,1920,2560,0
4,6,1440.624035,715.0267301,10,10,1920,2560,0
4,7,748.36977,414.9702907,10,10,1920,2560,0
4,11,856.2496147,1269.900051,10,10,1920,2560,0
4,20,2151.088268,1648.457014,10,10,1920,2560,0
4,21,2382.776937,519.160504,10,10,1920,2560,0
4,22,471.2168572,896.1605927,10,10,1920,2560,0
4,27,227.6128408,1809.632227,10,10,1920,2560,0
4,28,1701.165403,1085.947179,10,10,1920,2560,0
4,29,2436.088167,567.3745377,10,10,1920,2560,0
4,35,2195.547057,123.4425015,10,10,1920,2560,0
4,46,1351.58506,728.8343683,10,10,1920,2560,0
4,48,1293.261504,760.4844645,10,10,1920,2560,47
4,127,1346.475745,663.6986868,10,10,1920,2560,47
5,180,1367.030536,1220.403197,10,10,1920,2560,0
5,183,1706.04709,725.5211382,10,10,1920,2560,0
5,157,495.0101153,175.0974469,10,10,1920,2560,0
